,mt,ribo,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,highly_variable,means,dispersions,dispersions_norm
CCL4,False,False,4,0.0028885037,99.7689196995956,5.0,True,0.003361873740637242,0.7140499695810911,1.1790123
AC243829.2,False,False,11,0.006932409,99.36452917388793,12.0,False,0.007290205999055779,0.3979724986959388,0.3996583
TBC1D3B,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AC243829.1,False,False,13,0.00751011,99.24898902368572,13.0,False,0.008238710015810858,0.11338970844542393,-0.30203906
CCL3L1,False,False,14,0.012131716,99.19121894858463,21.0,True,0.02698626867639892,2.5946954464837857,5.81613
CCL4L2,False,False,2,0.0028885037,99.8844598497978,5.0,True,0.003877494903189112,1.54757358964903,3.234236
AC243829.5,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
TBC1D3I,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
TBC1D3G,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
TBC1D3H,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
TBC1D3F,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
ZNHIT3,False,False,733,0.63951474,57.65453495089543,1107.0,False,0.4507970287481692,0.14448764730230984,-0.7917823
MYO19,False,False,291,0.21086077,83.18890814558058,365.0,False,0.15270992798698763,0.1769414973788343,-0.14533906
PIGW,False,False,82,0.05199307,95.26285384171,90.0,False,0.03180296033460811,-0.15826837385168388,-0.9718679
GGNBP2,False,False,685,0.62796074,60.427498555748116,1087.0,False,0.43344980533044936,0.33183950603585566,-0.09950255
DHRS11,False,False,198,0.14153668,88.56152512998267,245.0,False,0.09190483409992313,-0.04867432803292581,-0.70164126
MRM1,False,False,151,0.11034084,91.27671865973426,191.0,False,0.0655228433412535,-0.01516977702165686,-0.61902887
AC243830.2,False,False,7,0.004043905,99.59560947429232,7.0,False,0.0038144096362980467,-0.06662491771605931,-0.7459021
AC243830.3,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AC243830.1,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
LHX1-DT,False,False,1,0.00057770073,99.94222992489891,1.0,False,0.0011380662814016577,0.6264235206189854,0.96295124
LHX1,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AC243773.1,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AATF,False,False,565,0.43789718,67.35990756787984,758.0,False,0.33134514684784455,0.16633293304861052,-0.71106225
AC243773.2,False,False,3,0.0017331023,99.8266897746967,3.0,False,0.0011702406657381505,0.05147908029839074,-0.45469242
AC244093.4,False,False,4,0.002310803,99.7689196995956,4.0,False,0.0018188428197753962,-0.2034441088215429,-1.0832579
AC244093.3,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AC244093.5,False,False,13,0.00808781,99.24898902368572,14.0,False,0.009214861437744528,0.27882247777259656,0.10586944
ACACA,False,False,637,0.5921433,63.2004621606008,1025.0,False,0.41167015460119344,0.34627571433300464,-0.046159633
C17orf78,False,False,1,0.00057770073,99.94222992489891,1.0,False,9.999999999995e-13,,
AC243654.3,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
TADA2A,False,False,170,0.10860774,90.1790872328134,188.0,False,0.09223916279194305,0.23990825155744805,0.009918417
AC243654.1,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
DUSP14,False,False,199,0.124205664,88.50375505488157,215.0,False,0.10601478835784546,0.041142059552909366,-0.48018047
SYNRG,False,False,211,0.13460428,87.8105141536684,233.0,False,0.1313312957309983,0.2555859310322506,0.048574958
AC243585.2,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
DDX52,False,False,441,0.32813403,74.52339688041593,568.0,False,0.2569994093251643,0.19330159520086349,-0.10499987
AC243571.2,False,False,3,0.0017331023,99.8266897746967,3.0,False,0.0018162413818316268,0.05796065127757209,-0.43871078
AC243585.1,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
HNF1B,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AC243571.1,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
TBC1D3K,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
TBC1D3L,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
TBC1D3D,False,False,5,0.0028885037,99.71114962449451,5.0,False,0.0015431874394221585,-0.6005157117994221,-2.0623195
TBC1D3C,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
TBC1D3E,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
TBC1D3,False,False,1,0.00057770073,99.94222992489891,1.0,False,0.0004437451416753472,-0.31575917244351687,-1.3601938
MRPL45,False,False,777,0.65626806,55.11265164644714,1136.0,False,0.47846708425149176,0.2028941755964114,-0.57596564
GPR179,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
SOCS7,False,False,101,0.06239168,94.16522241478914,108.0,False,0.05976209837253111,0.20689207380233215,-0.07148976
ARHGAP23,False,False,28,0.017331023,98.38243789716927,30.0,False,0.011304421508659726,-0.1862683205538702,-1.0409075
AC244153.1,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
SRCIN1,False,False,3,0.0017331023,99.8266897746967,3.0,False,0.001639040220682124,-0.10501413664060283,-0.84055865
AC006449.1,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
